"","term","description","package","title"
"1","aes()","create aesthetic mappings between data and plot","ggplot2","R4DS2e: Quarto"
"5","filter()","keep rows based on values of columns","dplyr","R4DS2e: Quarto"
"6","format()","format object for pretty printing","base","R4DS2e: Quarto"
"7","geom_point()","add layer of points to plot","ggplot2","R4DS2e: Quarto"
"8","ggplot()","create a plotting area","ggplot2","R4DS2e: Quarto"
"10","is.na()","determine whether elements of vector are missing","base","R4DS2e: Quarto"
"11","kable()","create knitr table","knitr","R4DS2e: Quarto"
"12","library()","load R packages","base","R4DS2e: Quarto"
"13","mutate()","create or modify data columns","dplyr","R4DS2e: Quarto"
"14","paste0()","concatenate character vectors with no space between elements","base","R4DS2e: Quarto"
"16","read_csv()","read comma delimited files","readr","R4DS2e: Quarto"
"17","read_file()","read a complete file","readr","R4DS2e: Quarto"
