"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","R4DS-2e Ch. 27"
"2","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","R4DS-2e Ch. 27"
"3","is.na()","determine whether elements of vector are missing","https://rdrr.io/r/base/NA.html","base","R4DS-2e Ch. 27"
"4","tibble()","create tibble","https://tibble.tidyverse.org/reference/tibble.html","tibble","R4DS-2e Ch. 27"
"5","runif()","generate random number from uniform distribution","https://rdrr.io/r/stats/Uniform.html","stats","R4DS-2e Ch. 27"
"6","data.frame()","create data frame","https://rdrr.io/r/base/data.frame.html","base","R4DS-2e Ch. 27"
"7","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","R4DS-2e Ch. 27"
"8","arrange()","change order of rows based on values of columns","https://dplyr.tidyverse.org/reference/arrange.html","dplyr","R4DS-2e Ch. 27"
"9","order()","return index of sorted vector (base R)","https://rdrr.io/r/base/order.html","base","R4DS-2e Ch. 27"
"10","select()","keep specified columns","https://dplyr.tidyverse.org/reference/select.html","dplyr","R4DS-2e Ch. 27"
"11","subset()",NA,NA,NA,"R4DS-2e Ch. 27"
"12","max()","compute maxima of input values","https://rdrr.io/r/base/Extremes.html","base","R4DS-2e Ch. 27"
"13","levels()","view and change factor levels","https://rdrr.io/r/base/levels.html","base","R4DS-2e Ch. 27"
"14","pull()","extract a single column","https://dplyr.tidyverse.org/reference/pull.html","dplyr","R4DS-2e Ch. 27"
"15","list()","create recursive vector (list)","https://rdrr.io/r/base/list.html","base","R4DS-2e Ch. 27"
"16","str()","return object structure","https://rdrr.io/r/utils/str.html","utils","R4DS-2e Ch. 27"
"17","sapply()","apply a function to multiple elements of an object and return a vector, matrix, or array","https://rdrr.io/r/base/lapply.html","base","R4DS-2e Ch. 27"
"18","lapply()","apply a function to multiple elements of an object and return a list","https://rdrr.io/r/base/lapply.html","base","R4DS-2e Ch. 27"
"19","vapply()","apply a function to multiple elements of an object and return a vector","https://rdrr.io/r/base/lapply.html","base","R4DS-2e Ch. 27"
"20","logical()",NA,NA,NA,"R4DS-2e Ch. 27"
"21","group_by()","group data by levels of column","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","R4DS-2e Ch. 27"
"22","summarize()","summarize data usually by grouping variable","https://dplyr.tidyverse.org/reference/summarise.html","dplyr","R4DS-2e Ch. 27"
"23","mean()","calculate mean of elements of vector","https://rdrr.io/r/base/mean.html","base","R4DS-2e Ch. 27"
"24","tapply()","apply a function to each cell of a ragged array","https://rdrr.io/r/base/tapply.html","base","R4DS-2e Ch. 27"
"25","dir()","return directories in named directory","https://rdrr.io/r/base/list.files.html","base","R4DS-2e Ch. 27"
"26","map()","apply a function to multiple elements of an object in purrr, return a list","https://purrr.tidyverse.org/reference/map.html","purrr","R4DS-2e Ch. 27"
"27","vector()","create a vector","https://rdrr.io/r/base/vector.html","base","R4DS-2e Ch. 27"
"28","length()","return number of elements in a vector","https://rdrr.io/r/base/length.html","base","R4DS-2e Ch. 27"
"29","seq_along()","return a sequence along the length of an object","https://rdrr.io/r/base/seq.html","base","R4DS-2e Ch. 27"
"30","read_excel()","import either xls or xlsx Excel files","https://readxl.tidyverse.org/reference/read_excel.html","readxl","R4DS-2e Ch. 27"
"31","do.call()",NA,NA,NA,"R4DS-2e Ch. 27"
"32","rbind()","bind rows in base R","https://rdrr.io/r/base/cbind.html","base","R4DS-2e Ch. 27"
"33","hist()",NA,NA,NA,"R4DS-2e Ch. 27"
"34","plot()",NA,NA,NA,"R4DS-2e Ch. 27"
"35","df()",NA,NA,NA,"R4DS-2e Ch. 27"
"36","cut()","divide range of vector into intervals","https://rdrr.io/r/base/cut.html","base","R4DS-2e Ch. 27"
"37","is.numeric()","determine if input is of type numeric","https://rdrr.io/r/base/numeric.html","base","R4DS-2e Ch. 27"
