"","term","description","package","title"
"1","c()","create vector of numbers, characters, etc.","base","R4DS2e: Webscraping"
"2","head()","return first rows of matrix, data frame, etc.","utils","R4DS2e: Webscraping"
"9","library()","load R packages","base","R4DS2e: Webscraping"
"11","mutate()","create or modify data columns","dplyr","R4DS2e: Webscraping"
"12","parse_date()","parse date","readr","R4DS2e: Webscraping"
"13","parse_number()","parse a character vector to numbers","readr","R4DS2e: Webscraping"
"15","select()","keep specified columns","dplyr","R4DS2e: Webscraping"
"19","str_replace_all()","replace all matched patterns in a  string","stringr","R4DS2e: Webscraping"
"21","tibble()","create tibble","tibble","R4DS2e: Webscraping"
