"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","psyteachr_ads Ch. 04"
"2","read_csv()","read comma delimited files","https://readr.tidyverse.org/reference/read_delim.html","readr","psyteachr_ads Ch. 04"
"3","spec()",NA,NA,NA,"psyteachr_ads Ch. 04"
"4","glimpse()",NA,NA,NA,"psyteachr_ads Ch. 04"
"5","count()","count unique values of variables","https://dplyr.tidyverse.org/reference/count.html","dplyr","psyteachr_ads Ch. 04"
"6","cols()",NA,NA,NA,"psyteachr_ads Ch. 04"
"7","col_skip()",NA,NA,NA,"psyteachr_ads Ch. 04"
"8","dput()","write an ASCII text representation of object","https://rdrr.io/r/base/dput.html","base","psyteachr_ads Ch. 04"
"9","col_factor()",NA,NA,NA,"psyteachr_ads Ch. 04"
"10","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","psyteachr_ads Ch. 04"
"11","clean_names()","clean data frame column names to be unique and consistent of only characters, numbers and `_`","https://rdrr.io/cran/janitor/man/clean_names.html","janitor","psyteachr_ads Ch. 04"
"12","colnames()","retrieve or set column names","https://rdrr.io/r/base/colnames.html","base","psyteachr_ads Ch. 04"
"13","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","psyteachr_ads Ch. 04"
"14","summarise()",NA,NA,NA,"psyteachr_ads Ch. 04"
"15","sum()","sum elements of vector","https://rdrr.io/r/base/sum.html","base","psyteachr_ads Ch. 04"
"16","arrange()","change order of rows based on values of columns","https://dplyr.tidyverse.org/reference/arrange.html","dplyr","psyteachr_ads Ch. 04"
"17","desc()","order in descending order","https://dplyr.tidyverse.org/reference/desc.html","dplyr","psyteachr_ads Ch. 04"
"18","head()","return first rows of matrix, data frame, etc.","https://rdrr.io/r/utils/head.html","utils","psyteachr_ads Ch. 04"
"19","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","psyteachr_ads Ch. 04"
"20","round()","round values to specified number of digits","https://rdrr.io/r/base/Round.html","base","psyteachr_ads Ch. 04"
"21","mean()","calculate mean of elements of vector","https://rdrr.io/r/base/mean.html","base","psyteachr_ads Ch. 04"
"22","group_by()","group data by levels of column","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","psyteachr_ads Ch. 04"
"23","ungroup()","remove grouping","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","psyteachr_ads Ch. 04"
"24","str_extract()","extract first matching patterns in a string","https://stringr.tidyverse.org/reference/str_extract.html","stringr","psyteachr_ads Ch. 04"
"25","as.integer()","coerce to integer","https://rdrr.io/r/base/integer.html","base","psyteachr_ads Ch. 04"
"26","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","psyteachr_ads Ch. 04"
"27","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","psyteachr_ads Ch. 04"
"28","geom_line()","add layer of data lines to plot","https://ggplot2.tidyverse.org/reference/geom_path.html","ggplot2","psyteachr_ads Ch. 04"
"29","facet_wrap()","create subplots from one variable","https://ggplot2.tidyverse.org/reference/facet_wrap.html","ggplot2","psyteachr_ads Ch. 04"
"30","geom_hline()","plot horizontal reference line","https://ggplot2.tidyverse.org/reference/geom_abline.html","ggplot2","psyteachr_ads Ch. 04"
"31","labs()","modify axis, legend, and plot labels","https://ggplot2.tidyverse.org/reference/labs.html","ggplot2","psyteachr_ads Ch. 04"
"32","theme()","customize non-data components of plot","https://ggplot2.tidyverse.org/reference/theme.html","ggplot2","psyteachr_ads Ch. 04"
"33","element_text()",NA,NA,NA,"psyteachr_ads Ch. 04"
"34","years()",NA,NA,NA,"psyteachr_ads Ch. 04"
"35","n()","return current group size","https://dplyr.tidyverse.org/reference/context.html","dplyr","psyteachr_ads Ch. 04"
"36","year()","return or set year component of a date-time","https://lubridate.tidyverse.org/reference/year.html","lubridate","psyteachr_ads Ch. 04"
