"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","R4DS-2e Ch. 24"
"2","read_html()",NA,NA,NA,"R4DS-2e Ch. 24"
"3","minimal_html()",NA,NA,NA,"R4DS-2e Ch. 24"
"4","html_elements()",NA,NA,NA,"R4DS-2e Ch. 24"
"5","html_element()",NA,NA,NA,"R4DS-2e Ch. 24"
"6","html_text2()",NA,NA,NA,"R4DS-2e Ch. 24"
"7","html_attr()",NA,NA,NA,"R4DS-2e Ch. 24"
"8","html_table()",NA,NA,NA,"R4DS-2e Ch. 24"
"9","tibble()","create tibble","https://tibble.tidyverse.org/reference/tibble.html","tibble","R4DS-2e Ch. 24"
"10","str_remove()",NA,NA,NA,"R4DS-2e Ch. 24"
"11","parse_date()","parse date","https://readr.tidyverse.org/reference/parse_datetime.html","readr","R4DS-2e Ch. 24"
"12","select()","keep specified columns","https://dplyr.tidyverse.org/reference/select.html","dplyr","R4DS-2e Ch. 24"
"13","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","R4DS-2e Ch. 24"
"14","str_replace_all()","replace all matched patterns in a  string","https://stringr.tidyverse.org/reference/str_replace.html","stringr","R4DS-2e Ch. 24"
"15","separate_wider_regex()",NA,NA,NA,"R4DS-2e Ch. 24"
"16","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","R4DS-2e Ch. 24"
"17","head()","return first rows of matrix, data frame, etc.","https://rdrr.io/r/utils/head.html","utils","R4DS-2e Ch. 24"
"18","parse_number()","parse a character vector to numbers","https://readr.tidyverse.org/reference/parse_atomic.html","readr","R4DS-2e Ch. 24"
"19","table()",NA,NA,NA,"R4DS-2e Ch. 24"
