term,description,url,package,title
aes(),create aesthetic mappings between data and plot,https://ggplot2.tidyverse.org/reference/aes.html,ggplot2,R4DS Ch. 3
coord_fixed(),force aspect ratio between data units on axes,https://ggplot2.tidyverse.org/reference/coord_fixed.html,ggplot2,R4DS Ch. 3
coord_flip(),switch x and y axes,https://ggplot2.tidyverse.org/reference/coord_flip.html,ggplot2,R4DS Ch. 3
coord_polar(),use polar coordinates,https://ggplot2.tidyverse.org/reference/coord_polar.html,ggplot2,R4DS Ch. 3
coord_quickmap(),set aspect ratio correctly for maps,https://ggplot2.tidyverse.org/reference/coord_map.html,ggplot2,R4DS Ch. 3
facet_grid(),create grid of subplots from multiple variables,https://ggplot2.tidyverse.org/reference/facet_grid.html,ggplot2,R4DS Ch. 3
facet_wrap(),create subplots from one variable,https://ggplot2.tidyverse.org/reference/facet_wrap.html,ggplot2,R4DS Ch. 3
geom_abline(),"add vertical, horizontal, or diagonal reference lines",https://ggplot2.tidyverse.org/reference/geom_abline.html,ggplot2,R4DS Ch. 3
geom_bar(),create bar chart,https://ggplot2.tidyverse.org/reference/geom_bar.html,ggplot2,R4DS Ch. 3
geom_boxplot(),add layer of boxplots to plot,https://ggplot2.tidyverse.org/reference/geom_boxplot.html,ggplot2,R4DS Ch. 3
geom_count(),add layer of points sized by count of overlapping points to plot,https://ggplot2.tidyverse.org/reference/geom_count.html,ggplot2,R4DS Ch. 3
geom_jitter(),add layer of jittered points to plot,https://ggplot2.tidyverse.org/reference/geom_jitter.html,ggplot2,R4DS Ch. 3
geom_point(),add layer of points to plot,https://ggplot2.tidyverse.org/reference/geom_point.html,ggplot2,R4DS Ch. 3
geom_polygon(),add layer of polygons to plot,https://ggplot2.tidyverse.org/reference/geom_polygon.html,ggplot2,R4DS Ch. 3
geom_smooth(),create smoothed lines to plot,https://ggplot2.tidyverse.org/reference/geom_smooth.html,ggplot2,R4DS Ch. 3
ggplot(),create a plotting area,https://ggplot2.tidyverse.org/reference/ggplot.html,ggplot2,R4DS Ch. 3
labs(),"modify axis, legend, and plot labels",https://ggplot2.tidyverse.org/reference/labs.html,ggplot2,R4DS Ch. 3
stat_summary(),summarize y values for each x value,https://ggplot2.tidyverse.org/reference/stat_summary.html,ggplot2,R4DS Ch. 3
alpha,argument for opacity of plot objects,https://ggplot2.tidyverse.org/articles/ggplot2-specs.html,ggplot2,R4DS Ch. 3
color,"argument for color of dots, lines, etc",https://ggplot2.tidyverse.org/articles/ggplot2-specs.html,ggplot2,R4DS Ch. 3
fill,argument for color of areas,https://ggplot2.tidyverse.org/articles/ggplot2-specs.html,ggplot2,R4DS Ch. 3
group,argument for grouping data by variable,NA,ggplot2,R4DS Ch. 3
linetype,argument for type of line,https://ggplot2.tidyverse.org/articles/ggplot2-specs.html,ggplot2,R4DS Ch. 3
position,argument for altering plot positioning,NA,ggplot2,R4DS Ch. 3
shape,argument for shape of points,https://ggplot2.tidyverse.org/articles/ggplot2-specs.html,ggplot2,R4DS Ch. 3
size,"argument for size of dots, lines, etc.",https://ggplot2.tidyverse.org/articles/ggplot2-specs.html,ggplot2,R4DS Ch. 3
