"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","R4DS-2e Ch. 17"
"2","today()","return the current date","https://lubridate.tidyverse.org/reference/now.html","lubridate","R4DS-2e Ch. 17"
"3","now()","return current date and time","https://lubridate.tidyverse.org/reference/now.html","lubridate","R4DS-2e Ch. 17"
"4","read_csv()","read comma delimited files","https://readr.tidyverse.org/reference/read_delim.html","readr","R4DS-2e Ch. 17"
"5","cols()",NA,NA,NA,"R4DS-2e Ch. 17"
"6","col_date()",NA,NA,NA,"R4DS-2e Ch. 17"
"7","ymd()","parse dates with year, month, and day components","https://lubridate.tidyverse.org/reference/ymd.html","lubridate","R4DS-2e Ch. 17"
"8","mdy()","parse dates as month, day, year","https://lubridate.tidyverse.org/reference/ymd.html","lubridate","R4DS-2e Ch. 17"
"9","dmy()","parse dates as day, month, year","https://lubridate.tidyverse.org/reference/ymd.html","lubridate","R4DS-2e Ch. 17"
"10","ymd_hms()","parse dates and time","https://lubridate.tidyverse.org/reference/ymd_hms.html","lubridate","R4DS-2e Ch. 17"
"11","mdy_hm()","parse month, day, year and hour, minute","https://lubridate.tidyverse.org/reference/ymd_hms.html","lubridate","R4DS-2e Ch. 17"
"12","select()","keep specified columns","https://dplyr.tidyverse.org/reference/select.html","dplyr","R4DS-2e Ch. 17"
"13","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","R4DS-2e Ch. 17"
"14","make_datetime()","create date-times from numeric representations","https://lubridate.tidyverse.org/reference/make_datetime.html","lubridate","R4DS-2e Ch. 17"
"15","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","R4DS-2e Ch. 17"
"16","is.na()","determine whether elements of vector are missing","https://rdrr.io/r/base/NA.html","base","R4DS-2e Ch. 17"
"17","make_datetime_100()",NA,NA,NA,"R4DS-2e Ch. 17"
"18","ends_with()","match column names that end with string","https://tidyselect.r-lib.org/reference/starts_with.html","tidyselect","R4DS-2e Ch. 17"
"19","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","R4DS-2e Ch. 17"
"20","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","R4DS-2e Ch. 17"
"21","geom_freqpoly()","create frequency polygon","https://ggplot2.tidyverse.org/reference/geom_histogram.html","ggplot2","R4DS-2e Ch. 17"
"22","as_datetime()","convert object to date-time","https://lubridate.tidyverse.org/reference/as_date.html","lubridate","R4DS-2e Ch. 17"
"23","as_date()","convert object to date","https://lubridate.tidyverse.org/reference/as_date.html","lubridate","R4DS-2e Ch. 17"
"24","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","R4DS-2e Ch. 17"
