"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","psyteachr_ads Ch. 10"
"2","theme_set()",NA,NA,NA,"psyteachr_ads Ch. 10"
"3","theme_light()",NA,NA,NA,"psyteachr_ads Ch. 10"
"4","cols()",NA,NA,NA,"psyteachr_ads Ch. 10"
"5","col_factor()",NA,NA,NA,"psyteachr_ads Ch. 10"
"6","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","psyteachr_ads Ch. 10"
"7","read_csv()","read comma delimited files","https://readr.tidyverse.org/reference/read_delim.html","readr","psyteachr_ads Ch. 10"
"8","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","psyteachr_ads Ch. 10"
"9","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","psyteachr_ads Ch. 10"
"10","geom_bar()","create bar chart based on counts in data","https://ggplot2.tidyverse.org/reference/geom_bar.html","ggplot2","psyteachr_ads Ch. 10"
"11","labs()","modify axis, legend, and plot labels","https://ggplot2.tidyverse.org/reference/labs.html","ggplot2","psyteachr_ads Ch. 10"
"12","geom_point()","add layer of points to plot","https://ggplot2.tidyverse.org/reference/geom_point.html","ggplot2","psyteachr_ads Ch. 10"
"13","geom_smooth()","create smoothed lines to plot","https://ggplot2.tidyverse.org/reference/geom_smooth.html","ggplot2","psyteachr_ads Ch. 10"
"14","annotate()","annotate plot independent of data","https://ggplot2.tidyverse.org/reference/annotate.html","ggplot2","psyteachr_ads Ch. 10"
"15","arrow()","plot arrows","https://rdrr.io/r/grid/arrow.html","grid","psyteachr_ads Ch. 10"
"16","unit()",NA,NA,NA,"psyteachr_ads Ch. 10"
"17","geom_histogram()","create histogram of counts as bars","https://ggplot2.tidyverse.org/reference/geom_histogram.html","ggplot2","psyteachr_ads Ch. 10"
"18","scale_x_continuous()","scale x axis to be continuous","https://ggplot2.tidyverse.org/reference/scale_continuous.html","ggplot2","psyteachr_ads Ch. 10"
"19","seq()","create sequences of numbers","https://rdrr.io/r/base/seq.html","base","psyteachr_ads Ch. 10"
"20","geom_freqpoly()","create frequency polygon","https://ggplot2.tidyverse.org/reference/geom_histogram.html","ggplot2","psyteachr_ads Ch. 10"
"21","geom_density()",NA,NA,NA,"psyteachr_ads Ch. 10"
"22","ggplotly()",NA,NA,NA,"psyteachr_ads Ch. 10"
"23","count()","count unique values of variables","https://dplyr.tidyverse.org/reference/count.html","dplyr","psyteachr_ads Ch. 10"
"24","geom_waffle()",NA,NA,NA,"psyteachr_ads Ch. 10"
"25","theme_enhance_waffle()",NA,NA,NA,"psyteachr_ads Ch. 10"
"26","scale_fill_colorblind()",NA,NA,NA,"psyteachr_ads Ch. 10"
"27","treemap()",NA,NA,NA,"psyteachr_ads Ch. 10"
"28","arrange()","change order of rows based on values of columns","https://dplyr.tidyverse.org/reference/arrange.html","dplyr","psyteachr_ads Ch. 10"
"29","list()","create recursive vector (list)","https://rdrr.io/r/base/list.html","base","psyteachr_ads Ch. 10"
"30","tribble()","create row-wise tibble","https://tibble.tidyverse.org/reference/tribble.html","tibble","psyteachr_ads Ch. 10"
"31","pivot_longer()","pivot data frame to be longer","https://tidyr.tidyverse.org/reference/pivot_longer.html","tidyr","psyteachr_ads Ch. 10"
"32","group_by()","group data by levels of column","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","psyteachr_ads Ch. 10"
"33","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","psyteachr_ads Ch. 10"
"34","n()","return current group size","https://dplyr.tidyverse.org/reference/context.html","dplyr","psyteachr_ads Ch. 10"
"35","rank()","return sample ranks of the values in a vector","https://rdrr.io/r/base/rank.html","base","psyteachr_ads Ch. 10"
"36","ungroup()","remove grouping","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","psyteachr_ads Ch. 10"
"37","str_replace()","replace first matched pattern in a string","https://stringr.tidyverse.org/reference/str_replace.html","stringr","psyteachr_ads Ch. 10"
"38","as.integer()","coerce to integer","https://rdrr.io/r/base/integer.html","base","psyteachr_ads Ch. 10"
"39","geom_bump()",NA,NA,NA,"psyteachr_ads Ch. 10"
"40","expansion()",NA,NA,NA,"psyteachr_ads Ch. 10"
"41","scale_y_reverse()",NA,NA,NA,"psyteachr_ads Ch. 10"
"42","geom_text()","adds text to plot","https://ggplot2.tidyverse.org/reference/geom_text.html","ggplot2","psyteachr_ads Ch. 10"
"43","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","psyteachr_ads Ch. 10"
"44","theme()","customize non-data components of plot","https://ggplot2.tidyverse.org/reference/theme.html","ggplot2","psyteachr_ads Ch. 10"
"45","element_blank()",NA,NA,NA,"psyteachr_ads Ch. 10"
"46","element_text()",NA,NA,NA,"psyteachr_ads Ch. 10"
"47","import()",NA,NA,NA,"psyteachr_ads Ch. 10"
