"","term","description","package","title"
"1","arrange()","change order of rows based on values of columns","dplyr","R4DS2e Ch. 27"
"2","c()","create vector of numbers, characters, etc.","base","R4DS2e Ch. 27"
"3","cut()","divide range of vector into intervals","base","R4DS2e Ch. 27"
"4","data.frame()","create data frame","base","R4DS2e Ch. 27"
"6","dir()","return directories in named directory","base","R4DS2e Ch. 27"
"8","filter()","keep rows based on values of columns","dplyr","R4DS2e Ch. 27"
"9","group_by()","group data by levels of column","dplyr","R4DS2e Ch. 27"
"12","is.na()","determine whether elements of vector are missing","base","R4DS2e Ch. 27"
"13","is.numeric()","determine if input is of type numeric","base","R4DS2e Ch. 27"
"14","lapply()","apply a function to multiple elements of an object and return a list","base","R4DS2e Ch. 27"
"15","length()","return number of elements in a vector","base","R4DS2e Ch. 27"
"16","levels()","view and change factor levels","base","R4DS2e Ch. 27"
"17","library()","load R packages","base","R4DS2e Ch. 27"
"18","list()","create recursive vector (list)","base","R4DS2e Ch. 27"
"20","map()","apply a function to multiple elements of an object in purrr, return a list","purrr","R4DS2e Ch. 27"
"21","max()","compute maxima of input values","base","R4DS2e Ch. 27"
"22","mean()","calculate mean of elements of vector","base","R4DS2e Ch. 27"
"23","order()","return index of sorted vector (base R)","base","R4DS2e Ch. 27"
"25","pull()","extract a single column","dplyr","R4DS2e Ch. 27"
"26","rbind()","bind rows in base R","base","R4DS2e Ch. 27"
"27","read_excel()","import either xls or xlsx Excel files","readxl","R4DS2e Ch. 27"
"28","runif()","generate random number from uniform distribution","stats","R4DS2e Ch. 27"
"29","sapply()","apply a function to multiple elements of an object and return a vector, matrix, or array","base","R4DS2e Ch. 27"
"30","select()","keep specified columns","dplyr","R4DS2e Ch. 27"
"31","seq_along()","return a sequence along the length of an object","base","R4DS2e Ch. 27"
"33","str()","return object structure","utils","R4DS2e Ch. 27"
"35","summarize()","summarize data usually by grouping variable","dplyr","R4DS2e Ch. 27"
"36","tapply()","apply a function to each cell of a ragged array","base","R4DS2e Ch. 27"
"37","tibble()","create tibble","tibble","R4DS2e Ch. 27"
"38","vapply()","apply a function to multiple elements of an object and return a vector","base","R4DS2e Ch. 27"
"39","vector()","create a vector","base","R4DS2e Ch. 27"
