term,description,url,title
base R,"The set of R functions that come with a basic installation of R, before you add external packages",https://psyteachr.github.io/glossary/b.html#base-r,PsyTeachR DSRR Ch. 5
binding joins,Joins that bind one table to another by adding their rows or columns together.,https://psyteachr.github.io/glossary/b.html#binding-joins,PsyTeachR DSRR Ch. 5
filtering joins,Joins that act like the dplyr::filter() function in that they remove rows from the data in one table based on the values in another table.,https://psyteachr.github.io/glossary/f.html#filtering-joins,PsyTeachR DSRR Ch. 5
mutating joins,Joins that act like the dplyr::mutate() function in that they add new columns to one table based on values in another table.,https://psyteachr.github.io/glossary/m.html#mutating-joins,PsyTeachR DSRR Ch. 5
set operations,"Functions that compare two tables and return rows that match (intersect), are in either table (union), or are in one table but not the other (setdiff).",https://psyteachr.github.io/glossary/s.html#set-operations,PsyTeachR DSRR Ch. 5
