"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","R4DS-2e Ch. 07"
"2","read_csv()","read comma delimited files","https://readr.tidyverse.org/reference/read_delim.html","readr","R4DS-2e Ch. 07"
"3","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","R4DS-2e Ch. 07"
"4","rename()","rename columns","https://dplyr.tidyverse.org/reference/rename.html","dplyr","R4DS-2e Ch. 07"
"5","clean_names()","clean data frame column names to be unique and consistent of only characters, numbers and `_`","https://rdrr.io/cran/janitor/man/clean_names.html","janitor","R4DS-2e Ch. 07"
"6","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","R4DS-2e Ch. 07"
"7","factor()","encode vector as factor","https://rdrr.io/r/base/factor.html","base","R4DS-2e Ch. 07"
"8","parse_number()","parse a character vector to numbers","https://readr.tidyverse.org/reference/parse_atomic.html","readr","R4DS-2e Ch. 07"
"9","if_else()","vectorized if statement that checks conditionals and returns different outputs based on answer","https://dplyr.tidyverse.org/reference/if_else.html","dplyr","R4DS-2e Ch. 07"
"10","tibble()","create tibble","https://tibble.tidyverse.org/reference/tibble.html","tibble","R4DS-2e Ch. 07"
"11","rnorm()","generate random sample from normal distribution","https://rdrr.io/r/stats/Normal.html","stats","R4DS-2e Ch. 07"
"12","length()","return number of elements in a vector","https://rdrr.io/r/base/length.html","base","R4DS-2e Ch. 07"
"13","list()","create recursive vector (list)","https://rdrr.io/r/base/list.html","base","R4DS-2e Ch. 07"
"14","col_double()",NA,NA,NA,"R4DS-2e Ch. 07"
"15","problems()","retrieve parsing problems","https://readr.tidyverse.org/reference/problems.html","readr","R4DS-2e Ch. 07"
"16","cols()",NA,NA,NA,"R4DS-2e Ch. 07"
"17","col_character()",NA,NA,NA,"R4DS-2e Ch. 07"
"18","cols_only()",NA,NA,NA,"R4DS-2e Ch. 07"
"19","list.files()",NA,NA,NA,"R4DS-2e Ch. 07"
"20","write_csv()","write data frame to comma delimited file","https://readr.tidyverse.org/reference/write_delim.html","readr","R4DS-2e Ch. 07"
"21","write_rds()","write RDS files","https://readr.tidyverse.org/reference/read_rds.html","readr","R4DS-2e Ch. 07"
"22","read_rds()","read RDS files","https://readr.tidyverse.org/reference/read_rds.html","readr","R4DS-2e Ch. 07"
"23","tribble()","create row-wise tibble","https://tibble.tidyverse.org/reference/tribble.html","tibble","R4DS-2e Ch. 07"
"24","df()",NA,NA,NA,"R4DS-2e Ch. 07"
