"","term","description","package","title"
"1","arrange()","change order of rows based on values of columns","dplyr","R4DS2e: Arrow"
"2","collect()","retrieve data from a database into a local tibble","dplyr","R4DS2e: Arrow"
"3","desc()","order in descending order","dplyr","R4DS2e: Arrow"
"7","filter()","keep rows based on values of columns","dplyr","R4DS2e: Arrow"
"9","group_by()","group data by levels of column","dplyr","R4DS2e: Arrow"
"10","library()","load R packages","base","R4DS2e: Arrow"
"17","sum()","sum elements of vector","base","R4DS2e: Arrow"
"19","summarize()","summarize data usually by grouping variable","dplyr","R4DS2e: Arrow"
"21","tibble()","create tibble","tibble","R4DS2e: Arrow"
