"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","R4DS-2e Ch. 12"
"2","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","R4DS-2e Ch. 12"
"3","tibble()","create tibble","https://tibble.tidyverse.org/reference/tibble.html","tibble","R4DS-2e Ch. 12"
"4","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","R4DS-2e Ch. 12"
"5","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","R4DS-2e Ch. 12"
"6","abs()","calculate absolute value","https://rdrr.io/r/base/MathFun.html","base","R4DS-2e Ch. 12"
"7","sqrt()",NA,NA,NA,"R4DS-2e Ch. 12"
"8","print()","prints argument","https://rdrr.io/r/base/print.html","base","R4DS-2e Ch. 12"
"9","near()","compare if two vectors of floating point numbers are equal (with a built-in tolerance)","https://dplyr.tidyverse.org/reference/near.html","dplyr","R4DS-2e Ch. 12"
"10","is.na()","determine whether elements of vector are missing","https://rdrr.io/r/base/NA.html","base","R4DS-2e Ch. 12"
"11","arrange()","change order of rows based on values of columns","https://dplyr.tidyverse.org/reference/arrange.html","dplyr","R4DS-2e Ch. 12"
"12","desc()","order in descending order","https://dplyr.tidyverse.org/reference/desc.html","dplyr","R4DS-2e Ch. 12"
"13","group_by()","group data by levels of column","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","R4DS-2e Ch. 12"
"14","summarize()","summarize data usually by grouping variable","https://dplyr.tidyverse.org/reference/summarise.html","dplyr","R4DS-2e Ch. 12"
"15","all()","assess whether conditional is true for all elements of a vector","https://rdrr.io/r/base/all.html","base","R4DS-2e Ch. 12"
"16","any()","assess whether conditional is true for any elements of a vector","https://rdrr.io/r/base/any.html","base","R4DS-2e Ch. 12"
"17","mean()","calculate mean of elements of vector","https://rdrr.io/r/base/mean.html","base","R4DS-2e Ch. 12"
"18","sum()","sum elements of vector","https://rdrr.io/r/base/sum.html","base","R4DS-2e Ch. 12"
"19","n()","return current group size","https://dplyr.tidyverse.org/reference/context.html","dplyr","R4DS-2e Ch. 12"
"20","if_else()","vectorized if statement that checks conditionals and returns different outputs based on answer","https://dplyr.tidyverse.org/reference/if_else.html","dplyr","R4DS-2e Ch. 12"
"21","case_when()","conditionally set values across multiple conditions","https://dplyr.tidyverse.org/reference/case_when.html","dplyr","R4DS-2e Ch. 12"
"22","now()","return current date and time","https://lubridate.tidyverse.org/reference/now.html","lubridate","R4DS-2e Ch. 12"
"23","df()",NA,NA,NA,"R4DS-2e Ch. 12"
"24","month()","return or set month component of a date-time","https://lubridate.tidyverse.org/reference/month.html","lubridate","R4DS-2e Ch. 12"
"25","day()","get days component of date-time","https://lubridate.tidyverse.org/reference/day.html","lubridate","R4DS-2e Ch. 12"
"26","year()","return or set year component of a date-time","https://lubridate.tidyverse.org/reference/year.html","lubridate","R4DS-2e Ch. 12"
