"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","psyteachr_fqa Ch. 07"
"2","read_csv()","read comma delimited files","https://readr.tidyverse.org/reference/read_delim.html","readr","psyteachr_fqa Ch. 07"
"3","select()","keep specified columns","https://dplyr.tidyverse.org/reference/select.html","dplyr","psyteachr_fqa Ch. 07"
"4","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","psyteachr_fqa Ch. 07"
"5","row_number()","rank vector elements with ties set to first","https://dplyr.tidyverse.org/reference/ranking.html","dplyr","psyteachr_fqa Ch. 07"
"6","case_match()",NA,NA,NA,"psyteachr_fqa Ch. 07"
"7","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","psyteachr_fqa Ch. 07"
"8","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","psyteachr_fqa Ch. 07"
"9","geom_point()","add layer of points to plot","https://ggplot2.tidyverse.org/reference/geom_point.html","ggplot2","psyteachr_fqa Ch. 07"
"10","scale_x_continuous()","scale x axis to be continuous","https://ggplot2.tidyverse.org/reference/scale_continuous.html","ggplot2","psyteachr_fqa Ch. 07"
"11","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","psyteachr_fqa Ch. 07"
"12","scale_y_continuous()","scale y axis to be continuous","https://ggplot2.tidyverse.org/reference/scale_continuous.html","ggplot2","psyteachr_fqa Ch. 07"
"13","seq()","create sequences of numbers","https://rdrr.io/r/base/seq.html","base","psyteachr_fqa Ch. 07"
"14","coord_cartesian()","use Cartesian coordinates","https://ggplot2.tidyverse.org/reference/coord_cartesian.html","ggplot2","psyteachr_fqa Ch. 07"
"15","geom_smooth()","create smoothed lines to plot","https://ggplot2.tidyverse.org/reference/geom_smooth.html","ggplot2","psyteachr_fqa Ch. 07"
"16","drop_na()","drop rows containing missing values","https://tidyr.tidyverse.org/reference/drop_na.html","tidyr","psyteachr_fqa Ch. 07"
"17","pivot_longer()","pivot data frame to be longer","https://tidyr.tidyverse.org/reference/pivot_longer.html","tidyr","psyteachr_fqa Ch. 07"
"18","geom_boxplot()","add layer of boxplots to plot","https://ggplot2.tidyverse.org/reference/geom_boxplot.html","ggplot2","psyteachr_fqa Ch. 07"
"19","guides()","set guides for scale","https://ggplot2.tidyverse.org/reference/guides.html","ggplot2","psyteachr_fqa Ch. 07"
"20","scale_fill_discrete()",NA,NA,NA,"psyteachr_fqa Ch. 07"
"21","scale_fill_viridis_d()",NA,NA,NA,"psyteachr_fqa Ch. 07"
"22","factor()","encode vector as factor","https://rdrr.io/r/base/factor.html","base","psyteachr_fqa Ch. 07"
"23","geom_violin()","create violin plot","https://ggplot2.tidyverse.org/reference/geom_violin.html","ggplot2","psyteachr_fqa Ch. 07"
"24","geom_jitter()","add layer of jittered points to plot","https://ggplot2.tidyverse.org/reference/geom_jitter.html","ggplot2","psyteachr_fqa Ch. 07"
"25","stat_summary()","summarize y values for each x value","https://ggplot2.tidyverse.org/reference/stat_summary.html","ggplot2","psyteachr_fqa Ch. 07"
"26","theme_minimal()",NA,NA,NA,"psyteachr_fqa Ch. 07"
"27","position_dodge()",NA,NA,NA,"psyteachr_fqa Ch. 07"
"28","facet_wrap()","create subplots from one variable","https://ggplot2.tidyverse.org/reference/facet_wrap.html","ggplot2","psyteachr_fqa Ch. 07"
