term,description,url,package,title
augment(),augment data with information from an object,https://generics.r-lib.org/reference/augment.html,generics,R4DS Chapter 25
data.frame(),create data frame,https://rdrr.io/r/base/data.frame.html,base,R4DS Chapter 25
enframe(),convert vectors to data frame,https://tibble.tidyverse.org/reference/enframe.html,tibble,R4DS Chapter 25
glance(),glance at an object,https://generics.r-lib.org/reference/glance.html,generics,R4DS Chapter 25
I(),inhibit interpretation/conversion of objects,https://rdrr.io/r/base/AsIs.html,base,R4DS Chapter 25
lengths(),return length of each element of a list or vector,https://rdrr.io/r/base/lengths.html,base,R4DS Chapter 25
list(),create recursive vector (list),https://rdrr.io/r/base/list.html,base,R4DS Chapter 25
map(),"apply a function to multiple elements of an object in purrr, return a list",https://purrr.tidyverse.org/reference/map.html,purrr,R4DS Chapter 25
mutate(),create or modify data columns,https://dplyr.tidyverse.org/reference/mutate.html,dplyr,R4DS Chapter 25
nest(),creates nested list structure,https://tidyr.tidyverse.org/reference/nest.html,tidyr,R4DS Chapter 25
quantile(),calculate sample quantiles,https://rdrr.io/r/stats/quantile.html,stats,R4DS Chapter 25
separate_rows(),separate collapsed column into multiple rows,https://tidyr.tidyverse.org/reference/separate_rows.html,tidyr,R4DS Chapter 25
str_split(),split string into pieces,https://stringr.tidyverse.org/reference/str_split.html,stringr,R4DS Chapter 25
tibble(),create tibble,https://tibble.tidyverse.org/reference/tibble.html,tibble,R4DS Chapter 25
tidy(),turn object into tidy tibble,https://generics.r-lib.org/reference/tidy.html,generics,R4DS Chapter 25
tribble(),create row-wise tibble,https://tibble.tidyverse.org/reference/tribble.html,tibble,R4DS Chapter 25
unnest(),remove nested structure,https://tidyr.tidyverse.org/reference/nest.html,tidyr,R4DS Chapter 25
