"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","psyteachr_dsrr Ch. 07"
"2","read_csv()","read comma delimited files","https://readr.tidyverse.org/reference/read_delim.html","readr","psyteachr_dsrr Ch. 07"
"3","select()","keep specified columns","https://dplyr.tidyverse.org/reference/select.html","dplyr","psyteachr_dsrr Ch. 07"
"4","head()","return first rows of matrix, data frame, etc.","https://rdrr.io/r/utils/head.html","utils","psyteachr_dsrr Ch. 07"
"5","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","psyteachr_dsrr Ch. 07"
"6","str_detect()","detect presence of pattern in string","https://stringr.tidyverse.org/reference/str_detect.html","stringr","psyteachr_dsrr Ch. 07"
"7","arrange()","change order of rows based on values of columns","https://dplyr.tidyverse.org/reference/arrange.html","dplyr","psyteachr_dsrr Ch. 07"
"8","desc()","order in descending order","https://dplyr.tidyverse.org/reference/desc.html","dplyr","psyteachr_dsrr Ch. 07"
"9","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","psyteachr_dsrr Ch. 07"
"10","factor()","encode vector as factor","https://rdrr.io/r/base/factor.html","base","psyteachr_dsrr Ch. 07"
"11","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","psyteachr_dsrr Ch. 07"
"12","paste()","concatenate character vectors with space between elements","https://rdrr.io/r/base/paste.html","base","psyteachr_dsrr Ch. 07"
"13","as.factor()","coerce object to factor","https://rdrr.io/r/base/factor.html","base","psyteachr_dsrr Ch. 07"
"14","case_when()","conditionally set values across multiple conditions","https://dplyr.tidyverse.org/reference/case_when.html","dplyr","psyteachr_dsrr Ch. 07"
"15","pivot_longer()","pivot data frame to be longer","https://tidyr.tidyverse.org/reference/pivot_longer.html","tidyr","psyteachr_dsrr Ch. 07"
"16","list()","create recursive vector (list)","https://rdrr.io/r/base/list.html","base","psyteachr_dsrr Ch. 07"
"17","pivot_wider()","pivot data frame to be wider","https://tidyr.tidyverse.org/reference/pivot_wider.html","tidyr","psyteachr_dsrr Ch. 07"
"18","summarise()",NA,NA,NA,"psyteachr_dsrr Ch. 07"
"19","mean()","calculate mean of elements of vector","https://rdrr.io/r/base/mean.html","base","psyteachr_dsrr Ch. 07"
"20","min()","compute minima of input values","https://rdrr.io/r/base/Extremes.html","base","psyteachr_dsrr Ch. 07"
"21","max()","compute maxima of input values","https://rdrr.io/r/base/Extremes.html","base","psyteachr_dsrr Ch. 07"
"22","group_by()","group data by levels of column","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","psyteachr_dsrr Ch. 07"
"23","ungroup()","remove grouping","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","psyteachr_dsrr Ch. 07"
"24","slice_max()",NA,NA,NA,"psyteachr_dsrr Ch. 07"
"25","across()","apply transformation across multiple columns","https://dplyr.tidyverse.org/reference/across.html","dplyr","psyteachr_dsrr Ch. 07"
"26","round()","round values to specified number of digits","https://rdrr.io/r/base/Round.html","base","psyteachr_dsrr Ch. 07"
"27","round_half_up()",NA,NA,NA,"psyteachr_dsrr Ch. 07"
"28","tibble()","create tibble","https://tibble.tidyverse.org/reference/tibble.html","tibble","psyteachr_dsrr Ch. 07"
"29","as.character()","coerce object to character","https://rdrr.io/r/base/character.html","base","psyteachr_dsrr Ch. 07"
"30","str()","return object structure","https://rdrr.io/r/utils/str.html","utils","psyteachr_dsrr Ch. 07"
"31","na_if()","replace values with NA","https://dplyr.tidyverse.org/reference/na_if.html","dplyr","psyteachr_dsrr Ch. 07"
"32","as.numeric()","coerce object to numeric","https://rdrr.io/r/base/numeric.html","base","psyteachr_dsrr Ch. 07"
"33","sum()","sum elements of vector","https://rdrr.io/r/base/sum.html","base","psyteachr_dsrr Ch. 07"
"34","is.na()","determine whether elements of vector are missing","https://rdrr.io/r/base/NA.html","base","psyteachr_dsrr Ch. 07"
"35","drop_na()","drop rows containing missing values","https://tidyr.tidyverse.org/reference/drop_na.html","tidyr","psyteachr_dsrr Ch. 07"
"36","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","psyteachr_dsrr Ch. 07"
"37","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","psyteachr_dsrr Ch. 07"
"38","geom_histogram()","create histogram of counts as bars","https://ggplot2.tidyverse.org/reference/geom_histogram.html","ggplot2","psyteachr_dsrr Ch. 07"
"39","facet_wrap()","create subplots from one variable","https://ggplot2.tidyverse.org/reference/facet_wrap.html","ggplot2","psyteachr_dsrr Ch. 07"
"40","labs()","modify axis, legend, and plot labels","https://ggplot2.tidyverse.org/reference/labs.html","ggplot2","psyteachr_dsrr Ch. 07"
"41","pull()","extract a single column","https://dplyr.tidyverse.org/reference/pull.html","dplyr","psyteachr_dsrr Ch. 07"
"42","geom_bar()","create bar chart based on counts in data","https://ggplot2.tidyverse.org/reference/geom_bar.html","ggplot2","psyteachr_dsrr Ch. 07"
"43","left_join()","join two data sets keeping the observations in the left one","https://dplyr.tidyverse.org/reference/mutate-joins.html","dplyr","psyteachr_dsrr Ch. 07"
"44","count()","count unique values of variables","https://dplyr.tidyverse.org/reference/count.html","dplyr","psyteachr_dsrr Ch. 07"
"45","as.integer()","coerce to integer","https://rdrr.io/r/base/integer.html","base","psyteachr_dsrr Ch. 07"
"46","year()","return or set year component of a date-time","https://lubridate.tidyverse.org/reference/year.html","lubridate","psyteachr_dsrr Ch. 07"
"47","data()","load specific data set","https://rdrr.io/r/utils/data.html","utils","psyteachr_dsrr Ch. 07"
"48","n()","return current group size","https://dplyr.tidyverse.org/reference/context.html","dplyr","psyteachr_dsrr Ch. 07"
