"","term","description","url","package","title"
"1","t.test()","computer one and two sample Student’s t-test on vectors of data","https://rdrr.io/r/stats/t.test.html","stats","psyteachr_fqa Ch. 09"
"2","format()","format object for pretty printing","https://rdrr.io/r/base/format.html","base","psyteachr_fqa Ch. 09"
"3","wilcox.test()",NA,NA,NA,"psyteachr_fqa Ch. 09"
"4","cohens_d()",NA,NA,NA,"psyteachr_fqa Ch. 09"
"5","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","psyteachr_fqa Ch. 09"
"6","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","psyteachr_fqa Ch. 09"
"7","geom_violin()","create violin plot","https://ggplot2.tidyverse.org/reference/geom_violin.html","ggplot2","psyteachr_fqa Ch. 09"
"8","geom_boxplot()","add layer of boxplots to plot","https://ggplot2.tidyverse.org/reference/geom_boxplot.html","ggplot2","psyteachr_fqa Ch. 09"
"9","stat_summary()","summarize y values for each x value","https://ggplot2.tidyverse.org/reference/stat_summary.html","ggplot2","psyteachr_fqa Ch. 09"
"10","scale_fill_viridis_d()",NA,NA,NA,"psyteachr_fqa Ch. 09"
"11","scale_y_continuous()","scale y axis to be continuous","https://ggplot2.tidyverse.org/reference/scale_continuous.html","ggplot2","psyteachr_fqa Ch. 09"
"12","scale_x_discrete()",NA,NA,NA,"psyteachr_fqa Ch. 09"
"13","guides()","set guides for scale","https://ggplot2.tidyverse.org/reference/guides.html","ggplot2","psyteachr_fqa Ch. 09"
"14","theme_classic()",NA,NA,NA,"psyteachr_fqa Ch. 09"
"15","group_by()","group data by levels of column","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","psyteachr_fqa Ch. 09"
"16","summarise()",NA,NA,NA,"psyteachr_fqa Ch. 09"
"17","round()","round values to specified number of digits","https://rdrr.io/r/base/Round.html","base","psyteachr_fqa Ch. 09"
"18","mean()","calculate mean of elements of vector","https://rdrr.io/r/base/mean.html","base","psyteachr_fqa Ch. 09"
"19","lm()","fit linear model","https://rdrr.io/r/stats/lm.html","stats","psyteachr_fqa Ch. 09"
"20","summary()","return summary of model fitting functions","https://rdrr.io/r/base/summary.html","base","psyteachr_fqa Ch. 09"
"21","confint()",NA,NA,NA,"psyteachr_fqa Ch. 09"
"22","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","psyteachr_fqa Ch. 09"
"23","sd()","compute standard deviation","https://rdrr.io/r/stats/sd.html","stats","psyteachr_fqa Ch. 09"
"24","standardize_parameters()",NA,NA,NA,"psyteachr_fqa Ch. 09"
"25","plot()",NA,NA,NA,"psyteachr_fqa Ch. 09"
"26","check_model()",NA,NA,NA,"psyteachr_fqa Ch. 09"
