"","term","description","package","title"
"1","aes()","create aesthetic mappings between data and plot","ggplot2","R4DS2e: Eda"
"2","after_stat()","evaluate aesthetic mapping after statistical transformation","ggplot2","R4DS2e: Eda"
"3","arrange()","change order of rows based on values of columns","dplyr","R4DS2e: Eda"
"4","augment()","augment data with information from an object","generics","R4DS2e: Eda"
"5","c()","create vector of numbers, characters, etc.","base","R4DS2e: Eda"
"6","class()","return object class","base","R4DS2e: Eda"
"7","coord_cartesian()","use Cartesian coordinates","ggplot2","R4DS2e: Eda"
"8","count()","count unique values of variables","dplyr","R4DS2e: Eda"
"9","cut()","divide range of vector into intervals","base","R4DS2e: Eda"
"10","cut_width()","cut data into groups of a particular width","ggplot2","R4DS2e: Eda"
"12","exp()","compute exponential function","base","R4DS2e: Eda"
"13","fct_reorder()","reorder factor levels by sorting along another variable","forcats","R4DS2e: Eda"
"14","filter()","keep rows based on values of columns","dplyr","R4DS2e: Eda"
"17","geom_boxplot()","add layer of boxplots to plot","ggplot2","R4DS2e: Eda"
"18","geom_count()","add layer of points sized by count of overlapping points to plot","ggplot2","R4DS2e: Eda"
"19","geom_freqpoly()","create frequency polygon","ggplot2","R4DS2e: Eda"
"20","geom_hex()","create heatmap of bin counts using hexagons","ggplot2","R4DS2e: Eda"
"21","geom_histogram()","create histogram of counts as bars","ggplot2","R4DS2e: Eda"
"22","geom_point()","add layer of points to plot","ggplot2","R4DS2e: Eda"
"23","geom_tile()","create tile plot using center of rectangle and size","ggplot2","R4DS2e: Eda"
"24","ggplot()","create a plotting area","ggplot2","R4DS2e: Eda"
"25","if_else()","vectorized if statement that checks conditionals and returns different outputs based on answer","dplyr","R4DS2e: Eda"
"26","is.na()","determine whether elements of vector are missing","base","R4DS2e: Eda"
"27","library()","load R packages","base","R4DS2e: Eda"
"29","log()","compute natural logarithm","base","R4DS2e: Eda"
"30","median()","compute sample median","stats","R4DS2e: Eda"
"31","mutate()","create or modify data columns","dplyr","R4DS2e: Eda"
"33","select()","keep specified columns","dplyr","R4DS2e: Eda"
