term,description,url,package,title
factor(),encode vector as factor,https://rdrr.io/r/base/factor.html,base,R4DS Chapter 15
fct_collapse(),collapse factors into manually defined groups,https://forcats.tidyverse.org/reference/fct_collapse.html,forcats,R4DS Chapter 15
fct_infreq(),reorder factor levels in the order of most to least frequent,https://forcats.tidyverse.org/reference/fct_inorder.html,forcats,R4DS Chapter 15
fct_inorder(),reorder factor levels in the order that they first appear,https://forcats.tidyverse.org/reference/fct_inorder.html,forcats,R4DS Chapter 15
fct_lump(),lump together factor levels into 'other',https://forcats.tidyverse.org/reference/fct_lump.html,forcats,R4DS Chapter 15
fct_recode(),change factor levels by hand,https://forcats.tidyverse.org/reference/fct_recode.html,forcats,R4DS Chapter 15
fct_relevel(),reorder factor levels by hand,https://forcats.tidyverse.org/reference/fct_relevel.html,forcats,R4DS Chapter 15
fct_reorder(),reorder factor levels by sorting along another variable,https://forcats.tidyverse.org/reference/fct_reorder.html,forcats,R4DS Chapter 15
fct_reorder2(),reorder factor levels by sorting along another variable with two dimensions,https://forcats.tidyverse.org/reference/fct_reorder.html,forcats,R4DS Chapter 15
fct_rev(),reverse order of factor levels,https://forcats.tidyverse.org/reference/fct_rev.html,forcats,R4DS Chapter 15
levels(),view and change factor levels,https://rdrr.io/r/base/levels.html,base,R4DS Chapter 15
parse_factor(),parse a character vector to factors,https://readr.tidyverse.org/reference/parse_factor.html,readr,R4DS Chapter 15
unique(),return vector with duplicate elements removed,https://rdrr.io/r/base/unique.html,base,R4DS Chapter 15
