"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","R4DS-2e Ch. 15"
"2","str_view()","view first regular expression match","https://stringr.tidyverse.org/reference/str_view.html","stringr","R4DS-2e Ch. 15"
"3","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","R4DS-2e Ch. 15"
"4","str_detect()","detect presence of pattern in string","https://stringr.tidyverse.org/reference/str_detect.html","stringr","R4DS-2e Ch. 15"
"5","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","R4DS-2e Ch. 15"
"6","count()","count unique values of variables","https://dplyr.tidyverse.org/reference/count.html","dplyr","R4DS-2e Ch. 15"
"7","group_by()","group data by levels of column","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","R4DS-2e Ch. 15"
"8","summarize()","summarize data usually by grouping variable","https://dplyr.tidyverse.org/reference/summarise.html","dplyr","R4DS-2e Ch. 15"
"9","mean()","calculate mean of elements of vector","https://rdrr.io/r/base/mean.html","base","R4DS-2e Ch. 15"
"10","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","R4DS-2e Ch. 15"
"11","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","R4DS-2e Ch. 15"
"12","geom_line()","add layer of data lines to plot","https://ggplot2.tidyverse.org/reference/geom_path.html","ggplot2","R4DS-2e Ch. 15"
"13","str_count()","count number of matches in a string","https://stringr.tidyverse.org/reference/str_count.html","stringr","R4DS-2e Ch. 15"
"14","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","R4DS-2e Ch. 15"
"15","str_to_lower()","change text to lower case","https://stringr.tidyverse.org/reference/case.html","stringr","R4DS-2e Ch. 15"
"16","str_replace_all()","replace all matched patterns in a  string","https://stringr.tidyverse.org/reference/str_replace.html","stringr","R4DS-2e Ch. 15"
"17","str_remove_all()","remove all instances of a pattern in a string","https://stringr.tidyverse.org/reference/str_remove.html","stringr","R4DS-2e Ch. 15"
"18","tribble()","create row-wise tibble","https://tibble.tidyverse.org/reference/tribble.html","tibble","R4DS-2e Ch. 15"
"19","separate_wider_regex()",NA,NA,NA,"R4DS-2e Ch. 15"
"20","str_replace()","replace first matched pattern in a string","https://stringr.tidyverse.org/reference/str_replace.html","stringr","R4DS-2e Ch. 15"
"21","str_match()","extract first matched group from a string","https://stringr.tidyverse.org/reference/str_match.html","stringr","R4DS-2e Ch. 15"
"22","head()","return first rows of matrix, data frame, etc.","https://rdrr.io/r/utils/head.html","utils","R4DS-2e Ch. 15"
"23","as_tibble()","coerce object into tibble","https://tibble.tidyverse.org/reference/as_tibble.html","tibble","R4DS-2e Ch. 15"
"24","set_names()","set names of object","https://magrittr.tidyverse.org/reference/aliases.html","magrittr","R4DS-2e Ch. 15"
"25","regex()","use regular expressions","https://rdrr.io/r/base/regex.html","base","R4DS-2e Ch. 15"
"26","str_extract()","extract first matching patterns in a string","https://stringr.tidyverse.org/reference/str_extract.html","stringr","R4DS-2e Ch. 15"
"27","fixed()","compare literal bytes in a string","https://stringr.tidyverse.org/reference/modifiers.html","stringr","R4DS-2e Ch. 15"
"28","coll()","compare strings respecting standard collation rules","https://stringr.tidyverse.org/reference/modifiers.html","stringr","R4DS-2e Ch. 15"
"29","str_c()","combines two or more strings","https://stringr.tidyverse.org/reference/str_c.html","stringr","R4DS-2e Ch. 15"
"30","str_flatten()","flatten a string","https://stringr.tidyverse.org/reference/str_flatten.html","stringr","R4DS-2e Ch. 15"
"31","colors()","returns vector of color names in R","https://rdrr.io/r/grDevices/colors.html","grDevices","R4DS-2e Ch. 15"
"32","apropos()","return vector of object names matching pattern","https://rdrr.io/r/utils/apropos.html","utils","R4DS-2e Ch. 15"
"33","list.files()",NA,NA,NA,"R4DS-2e Ch. 15"
"34","n()","return current group size","https://dplyr.tidyverse.org/reference/context.html","dplyr","R4DS-2e Ch. 15"
"35","year()","return or set year component of a date-time","https://lubridate.tidyverse.org/reference/year.html","lubridate","R4DS-2e Ch. 15"
"36","str()","return object structure","https://rdrr.io/r/utils/str.html","utils","R4DS-2e Ch. 15"
"37","rgb()",NA,NA,NA,"R4DS-2e Ch. 15"
"38","cols()",NA,NA,NA,"R4DS-2e Ch. 15"
