"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","psyteachr_ads Ch. 02"
"2","Sys.Date()","return system date","https://rdrr.io/r/base/Sys.time.html","base","psyteachr_ads Ch. 02"
"3","as.Date()","convert to date","https://rdrr.io/r/base/as.Date.html","base","psyteachr_ads Ch. 02"
"4","set()",NA,NA,NA,"psyteachr_ads Ch. 02"
"5","read_csv()","read comma delimited files","https://readr.tidyverse.org/reference/read_delim.html","readr","psyteachr_ads Ch. 02"
"6","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","psyteachr_ads Ch. 02"
"7","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","psyteachr_ads Ch. 02"
"8","count()","count unique values of variables","https://dplyr.tidyverse.org/reference/count.html","dplyr","psyteachr_ads Ch. 02"
"9","nrow()","return number of rows in matrix, data frame, etc.","https://rdrr.io/r/base/nrow.html","base","psyteachr_ads Ch. 02"
"10","min()","compute minima of input values","https://rdrr.io/r/base/Extremes.html","base","psyteachr_ads Ch. 02"
"11","max()","compute maxima of input values","https://rdrr.io/r/base/Extremes.html","base","psyteachr_ads Ch. 02"
"12","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","psyteachr_ads Ch. 02"
"13","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","psyteachr_ads Ch. 02"
"14","geom_col()","create bar chart based on values in data","https://ggplot2.tidyverse.org/reference/geom_bar.html","ggplot2","psyteachr_ads Ch. 02"
"15","labs()","modify axis, legend, and plot labels","https://ggplot2.tidyverse.org/reference/labs.html","ggplot2","psyteachr_ads Ch. 02"
"16","kable()","create knitr table","https://rdrr.io/pkg/knitr/man/kable.html","knitr","psyteachr_ads Ch. 02"
"17","kable_classic()",NA,NA,NA,"psyteachr_ads Ch. 02"
"18","row_spec()",NA,NA,NA,"psyteachr_ads Ch. 02"
"19","tribble()","create row-wise tibble","https://tibble.tidyverse.org/reference/tribble.html","tibble","psyteachr_ads Ch. 02"
"20","kable_minimal()",NA,NA,NA,"psyteachr_ads Ch. 02"
"21","include_graphics()",NA,NA,NA,"psyteachr_ads Ch. 02"
"22","today()","return the current date","https://lubridate.tidyverse.org/reference/now.html","lubridate","psyteachr_ads Ch. 02"
"23","n()","return current group size","https://dplyr.tidyverse.org/reference/context.html","dplyr","psyteachr_ads Ch. 02"
"24","first()",NA,NA,NA,"psyteachr_ads Ch. 02"
"25","last()",NA,NA,NA,"psyteachr_ads Ch. 02"
"26","frequency()",NA,NA,NA,"psyteachr_ads Ch. 02"
