"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","R4DS-2e Ch. 11"
"2","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","R4DS-2e Ch. 11"
"3","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","R4DS-2e Ch. 11"
"4","geom_point()","add layer of points to plot","https://ggplot2.tidyverse.org/reference/geom_point.html","ggplot2","R4DS-2e Ch. 11"
"5","geom_smooth()","create smoothed lines to plot","https://ggplot2.tidyverse.org/reference/geom_smooth.html","ggplot2","R4DS-2e Ch. 11"
"6","labs()","modify axis, legend, and plot labels","https://ggplot2.tidyverse.org/reference/labs.html","ggplot2","R4DS-2e Ch. 11"
"7","tibble()","create tibble","https://tibble.tidyverse.org/reference/tibble.html","tibble","R4DS-2e Ch. 11"
"8","cumsum()","calculate the cumulative sums of a vector","https://rdrr.io/r/base/cumsum.html","base","R4DS-2e Ch. 11"
"9","quote()","returns quoted expression","https://rdrr.io/r/base/substitute.html","base","R4DS-2e Ch. 11"
"10","sum()","sum elements of vector","https://rdrr.io/r/base/sum.html","base","R4DS-2e Ch. 11"
"11","group_by()","group data by levels of column","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","R4DS-2e Ch. 11"
"12","arrange()","change order of rows based on values of columns","https://dplyr.tidyverse.org/reference/arrange.html","dplyr","R4DS-2e Ch. 11"
"13","desc()","order in descending order","https://dplyr.tidyverse.org/reference/desc.html","dplyr","R4DS-2e Ch. 11"
"14","slice_head()","select the first (specified) number of rows","https://dplyr.tidyverse.org/reference/slice.html","dplyr","R4DS-2e Ch. 11"
"15","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","R4DS-2e Ch. 11"
"16","case_when()","conditionally set values across multiple conditions","https://dplyr.tidyverse.org/reference/case_when.html","dplyr","R4DS-2e Ch. 11"
"17","select()","keep specified columns","https://dplyr.tidyverse.org/reference/select.html","dplyr","R4DS-2e Ch. 11"
"18","geom_text()","adds text to plot","https://ggplot2.tidyverse.org/reference/geom_text.html","ggplot2","R4DS-2e Ch. 11"
"19","theme()","customize non-data components of plot","https://ggplot2.tidyverse.org/reference/theme.html","ggplot2","R4DS-2e Ch. 11"
"20","geom_label_repel()",NA,NA,NA,"R4DS-2e Ch. 11"
"21","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","R4DS-2e Ch. 11"
"22","geom_text_repel()",NA,NA,NA,"R4DS-2e Ch. 11"
"23","str_wrap()","wrap strings into nicely formatted paragraphs","https://stringr.tidyverse.org/reference/str_wrap.html","stringr","R4DS-2e Ch. 11"
"24","annotate()","annotate plot independent of data","https://ggplot2.tidyverse.org/reference/annotate.html","ggplot2","R4DS-2e Ch. 11"
"25","arrow()","plot arrows","https://rdrr.io/r/grid/arrow.html","grid","R4DS-2e Ch. 11"
"26","scale_x_continuous()","scale x axis to be continuous","https://ggplot2.tidyverse.org/reference/scale_continuous.html","ggplot2","R4DS-2e Ch. 11"
"27","scale_y_continuous()","scale y axis to be continuous","https://ggplot2.tidyverse.org/reference/scale_continuous.html","ggplot2","R4DS-2e Ch. 11"
"28","scale_color_discrete()","scale color aesthetic to be discrete","https://ggplot2.tidyverse.org/reference/scale_colour_discrete.html","ggplot2","R4DS-2e Ch. 11"
"29","seq()","create sequences of numbers","https://rdrr.io/r/base/seq.html","base","R4DS-2e Ch. 11"
"30","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","R4DS-2e Ch. 11"
"31","geom_boxplot()","add layer of boxplots to plot","https://ggplot2.tidyverse.org/reference/geom_boxplot.html","ggplot2","R4DS-2e Ch. 11"
"32","label_dollar()",NA,NA,NA,"R4DS-2e Ch. 11"
"33","geom_bar()","create bar chart based on counts in data","https://ggplot2.tidyverse.org/reference/geom_bar.html","ggplot2","R4DS-2e Ch. 11"
"34","label_percent()",NA,NA,NA,"R4DS-2e Ch. 11"
"35","row_number()","rank vector elements with ties set to first","https://dplyr.tidyverse.org/reference/ranking.html","dplyr","R4DS-2e Ch. 11"
