"","term","description","url","package","title"
"1","format()","format object for pretty printing","https://rdrr.io/r/base/format.html","base","R4DS-2e Ch. 28"
"2","comma()",NA,NA,NA,"R4DS-2e Ch. 28"
"3","kable()","create knitr table","https://rdrr.io/pkg/knitr/man/kable.html","knitr","R4DS-2e Ch. 28"
"4","read_csv()","read comma delimited files","https://readr.tidyverse.org/reference/read_delim.html","readr","R4DS-2e Ch. 28"
"5","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","R4DS-2e Ch. 28"
"6","is.na()","determine whether elements of vector are missing","https://rdrr.io/r/base/NA.html","base","R4DS-2e Ch. 28"
"7","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","R4DS-2e Ch. 28"
"8","complicated_transformation()",NA,NA,NA,"R4DS-2e Ch. 28"
