"","term","description","package","title"
"1","abs()","calculate absolute value","base","R4DS2e: Logicals"
"2","all()","assess whether conditional is true for all elements of a vector","base","R4DS2e: Logicals"
"3","any()","assess whether conditional is true for any elements of a vector","base","R4DS2e: Logicals"
"4","arrange()","change order of rows based on values of columns","dplyr","R4DS2e: Logicals"
"5","c()","create vector of numbers, characters, etc.","base","R4DS2e: Logicals"
"6","case_when()","conditionally set values across multiple conditions","dplyr","R4DS2e: Logicals"
"7","desc()","order in descending order","dplyr","R4DS2e: Logicals"
"9","filter()","keep rows based on values of columns","dplyr","R4DS2e: Logicals"
"10","group_by()","group data by levels of column","dplyr","R4DS2e: Logicals"
"11","if_else()","vectorized if statement that checks conditionals and returns different outputs based on answer","dplyr","R4DS2e: Logicals"
"13","is.na()","determine whether elements of vector are missing","base","R4DS2e: Logicals"
"14","library()","load R packages","base","R4DS2e: Logicals"
"15","mean()","calculate mean of elements of vector","base","R4DS2e: Logicals"
"16","mutate()","create or modify data columns","dplyr","R4DS2e: Logicals"
"17","n()","return current group size","dplyr","R4DS2e: Logicals"
"18","near()","compare if two vectors of floating point numbers are equal (with a built-in tolerance)","dplyr","R4DS2e: Logicals"
"19","now()","return current date and time","lubridate","R4DS2e: Logicals"
"20","print()","prints argument","base","R4DS2e: Logicals"
"23","sum()","sum elements of vector","base","R4DS2e: Logicals"
"24","summarize()","summarize data usually by grouping variable","dplyr","R4DS2e: Logicals"
"25","tibble()","create tibble","tibble","R4DS2e: Logicals"
