"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","psyteachr_fqa Ch. 13"
"2","read_csv()","read comma delimited files","https://readr.tidyverse.org/reference/read_delim.html","readr","psyteachr_fqa Ch. 13"
"3","select()","keep specified columns","https://dplyr.tidyverse.org/reference/select.html","dplyr","psyteachr_fqa Ch. 13"
"4","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","psyteachr_fqa Ch. 13"
"5","row_number()","rank vector elements with ties set to first","https://dplyr.tidyverse.org/reference/ranking.html","dplyr","psyteachr_fqa Ch. 13"
"6","case_match()",NA,NA,NA,"psyteachr_fqa Ch. 13"
"7","pivot_longer()","pivot data frame to be longer","https://tidyr.tidyverse.org/reference/pivot_longer.html","tidyr","psyteachr_fqa Ch. 13"
"8","group_by()","group data by levels of column","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","psyteachr_fqa Ch. 13"
"9","summarise()",NA,NA,NA,"psyteachr_fqa Ch. 13"
"10","round()","round values to specified number of digits","https://rdrr.io/r/base/Round.html","base","psyteachr_fqa Ch. 13"
"11","mean()","calculate mean of elements of vector","https://rdrr.io/r/base/mean.html","base","psyteachr_fqa Ch. 13"
"12","sd()","compute standard deviation","https://rdrr.io/r/stats/sd.html","stats","psyteachr_fqa Ch. 13"
"13","aov_ez()",NA,NA,NA,"psyteachr_fqa Ch. 13"
"14","tidy()","turn object into tidy tibble","https://generics.r-lib.org/reference/tidy.html","generics","psyteachr_fqa Ch. 13"
"15","check_model()",NA,NA,NA,"psyteachr_fqa Ch. 13"
"16","as.data.frame()","coerce object into data frame","https://rdrr.io/r/base/as.data.frame.html","base","psyteachr_fqa Ch. 13"
"17","rstandard()",NA,NA,NA,"psyteachr_fqa Ch. 13"
"18","bind_cols()","bind columns in dplyr","https://dplyr.tidyverse.org/reference/bind.html","dplyr","psyteachr_fqa Ch. 13"
"19","sqrt()",NA,NA,NA,"psyteachr_fqa Ch. 13"
"20","abs()","calculate absolute value","https://rdrr.io/r/base/MathFun.html","base","psyteachr_fqa Ch. 13"
"21","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","psyteachr_fqa Ch. 13"
"22","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","psyteachr_fqa Ch. 13"
"23","geom_point()","add layer of points to plot","https://ggplot2.tidyverse.org/reference/geom_point.html","ggplot2","psyteachr_fqa Ch. 13"
"24","stat_summary()","summarize y values for each x value","https://ggplot2.tidyverse.org/reference/stat_summary.html","ggplot2","psyteachr_fqa Ch. 13"
"25","labs()","modify axis, legend, and plot labels","https://ggplot2.tidyverse.org/reference/labs.html","ggplot2","psyteachr_fqa Ch. 13"
"26","emmeans()",NA,NA,NA,"psyteachr_fqa Ch. 13"
"27","cohens_d()",NA,NA,NA,"psyteachr_fqa Ch. 13"
"28","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","psyteachr_fqa Ch. 13"
"29","bind_rows()","bind rows in dplyr","https://dplyr.tidyverse.org/reference/bind.html","dplyr","psyteachr_fqa Ch. 13"
"30","afex_plot()",NA,NA,NA,"psyteachr_fqa Ch. 13"
"31","list()","create recursive vector (list)","https://rdrr.io/r/base/list.html","base","psyteachr_fqa Ch. 13"
"32","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","psyteachr_fqa Ch. 13"
"33","theme_classic()",NA,NA,NA,"psyteachr_fqa Ch. 13"
"34","scale_y_continuous()","scale y axis to be continuous","https://ggplot2.tidyverse.org/reference/scale_continuous.html","ggplot2","psyteachr_fqa Ch. 13"
"35","residuals()",NA,NA,NA,"psyteachr_fqa Ch. 13"
"36","lm()","fit linear model","https://rdrr.io/r/stats/lm.html","stats","psyteachr_fqa Ch. 13"
"37","contrasts()",NA,NA,NA,"psyteachr_fqa Ch. 13"
