"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","psyteachr_dsrr Ch. 09"
"2","set.seed()",NA,NA,NA,"psyteachr_dsrr Ch. 09"
"3","runif()","generate random number from uniform distribution","https://rdrr.io/r/stats/Uniform.html","stats","psyteachr_dsrr Ch. 09"
"4","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","psyteachr_dsrr Ch. 09"
"5","geom_histogram()","create histogram of counts as bars","https://ggplot2.tidyverse.org/reference/geom_histogram.html","ggplot2","psyteachr_dsrr Ch. 09"
"6","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","psyteachr_dsrr Ch. 09"
"7","sample()","randomly sample from vector","https://rdrr.io/r/base/sample.html","base","psyteachr_dsrr Ch. 09"
"8","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","psyteachr_dsrr Ch. 09"
"9","rbinom()",NA,NA,NA,"psyteachr_dsrr Ch. 09"
"10","rnorm()","generate random sample from normal distribution","https://rdrr.io/r/stats/Normal.html","stats","psyteachr_dsrr Ch. 09"
"11","geom_density()",NA,NA,NA,"psyteachr_dsrr Ch. 09"
"12","geom_vline()","plot vertical reference line","https://ggplot2.tidyverse.org/reference/geom_abline.html","ggplot2","psyteachr_dsrr Ch. 09"
"13","mean()","calculate mean of elements of vector","https://rdrr.io/r/base/mean.html","base","psyteachr_dsrr Ch. 09"
"14","quantile()","calculate sample quantiles","https://rdrr.io/r/stats/quantile.html","stats","psyteachr_dsrr Ch. 09"
"15","scale_x_continuous()","scale x axis to be continuous","https://ggplot2.tidyverse.org/reference/scale_continuous.html","ggplot2","psyteachr_dsrr Ch. 09"
"16","seq()","create sequences of numbers","https://rdrr.io/r/base/seq.html","base","psyteachr_dsrr Ch. 09"
"17","rpois()",NA,NA,NA,"psyteachr_dsrr Ch. 09"
"18","matrix()","create matrix of numbers, characters, etc.","https://rdrr.io/r/base/matrix.html","base","psyteachr_dsrr Ch. 09"
"19","t()",NA,NA,NA,"psyteachr_dsrr Ch. 09"
"20","mvrnorm()","produce samples from multivariate normal distribution","https://rdrr.io/cran/MASS/man/mvrnorm.html","MASS","psyteachr_dsrr Ch. 09"
"21","as_tibble()","coerce object into tibble","https://tibble.tidyverse.org/reference/as_tibble.html","tibble","psyteachr_dsrr Ch. 09"
"22","geom_point()","add layer of points to plot","https://ggplot2.tidyverse.org/reference/geom_point.html","ggplot2","psyteachr_dsrr Ch. 09"
"23","geom_smooth()","create smoothed lines to plot","https://ggplot2.tidyverse.org/reference/geom_smooth.html","ggplot2","psyteachr_dsrr Ch. 09"
"24","geom_density2d()",NA,NA,NA,"psyteachr_dsrr Ch. 09"
