"","term","description","package","title"
"1","aes()","create aesthetic mappings between data and plot","ggplot2","R4DS2e Ch. 17"
"2","as_date()","convert object to date","lubridate","R4DS2e Ch. 17"
"3","as_datetime()","convert object to date-time","lubridate","R4DS2e Ch. 17"
"6","c()","create vector of numbers, characters, etc.","base","R4DS2e Ch. 17"
"9","count()","count unique values of variables","dplyr","R4DS2e Ch. 17"
"10","days()","specify the number of days to be used in dates","lubridate","R4DS2e Ch. 17"
"14","dmy()","parse dates as day, month, year","lubridate","R4DS2e Ch. 17"
"18","ends_with()","match column names that end with string","tidyselect","R4DS2e Ch. 17"
"19","filter()","keep rows based on values of columns","dplyr","R4DS2e Ch. 17"
"20","floor_date()","round date-time down to floor","lubridate","R4DS2e Ch. 17"
"21","force_tz()","replace time zone to create new date-time","lubridate","R4DS2e Ch. 17"
"22","geom_bar()","create bar chart based on counts in data","ggplot2","R4DS2e Ch. 17"
"23","geom_freqpoly()","create frequency polygon","ggplot2","R4DS2e Ch. 17"
"24","geom_line()","add layer of data lines to plot","ggplot2","R4DS2e Ch. 17"
"25","geom_point()","add layer of points to plot","ggplot2","R4DS2e Ch. 17"
"26","ggplot()","create a plotting area","ggplot2","R4DS2e Ch. 17"
"27","group_by()","group data by levels of column","dplyr","R4DS2e Ch. 17"
"28","head()","return first rows of matrix, data frame, etc.","utils","R4DS2e Ch. 17"
"29","hour()","return or set hour component of a date-time","lubridate","R4DS2e Ch. 17"
"31","is.na()","determine whether elements of vector are missing","base","R4DS2e Ch. 17"
"32","length()","return number of elements in a vector","base","R4DS2e Ch. 17"
"33","library()","load R packages","base","R4DS2e Ch. 17"
"34","make_datetime()","create date-times from numeric representations","lubridate","R4DS2e Ch. 17"
"36","mday()","extract day number of month","lubridate","R4DS2e Ch. 17"
"37","mdy()","parse dates as month, day, year","lubridate","R4DS2e Ch. 17"
"38","mdy_hm()","parse month, day, year and hour, minute","lubridate","R4DS2e Ch. 17"
"39","mean()","calculate mean of elements of vector","base","R4DS2e Ch. 17"
"40","minute()","return or set minute component of a date-time","lubridate","R4DS2e Ch. 17"
"42","month()","return or set month component of a date-time","lubridate","R4DS2e Ch. 17"
"43","months()","specify the number of months to be used in dates","lubridate","R4DS2e Ch. 17"
"44","mutate()","create or modify data columns","dplyr","R4DS2e Ch. 17"
"45","n()","return current group size","dplyr","R4DS2e Ch. 17"
"46","now()","return current date and time","lubridate","R4DS2e Ch. 17"
"47","OlsonNames()","return vector of all time zone names","base","R4DS2e Ch. 17"
"49","read_csv()","read comma delimited files","readr","R4DS2e Ch. 17"
"50","select()","keep specified columns","dplyr","R4DS2e Ch. 17"
"52","summarize()","summarize data usually by grouping variable","dplyr","R4DS2e Ch. 17"
"53","Sys.timezone()","return name of current time zone","base","R4DS2e Ch. 17"
"55","today()","return the current date","lubridate","R4DS2e Ch. 17"
"56","update()","update and refit a model","stats","R4DS2e Ch. 17"
"57","wday()","extract day number of week","lubridate","R4DS2e Ch. 17"
"58","with_tz()","return date-time in a different time zone","lubridate","R4DS2e Ch. 17"
"59","yday()","extract day number of year","lubridate","R4DS2e Ch. 17"
"60","year()","return or set year component of a date-time","lubridate","R4DS2e Ch. 17"
"62","ymd()","parse dates with year, month, and day components","lubridate","R4DS2e Ch. 17"
"63","ymd_hms()","parse dates and time","lubridate","R4DS2e Ch. 17"
