"","term","description","package","title"
"1","c()","create vector of numbers, characters, etc.","base","R4DS-2e Ch. 0"
"4","filter()","keep rows based on values of columns","dplyr","R4DS-2e Ch. 0"
"5","ifelse()","conditionally set values","base","R4DS-2e Ch. 0"
"7","is.na()","determine whether elements of vector are missing","base","R4DS-2e Ch. 0"
"8","library()","load R packages","base","R4DS-2e Ch. 0"
"9","mutate()","create or modify data columns","dplyr","R4DS-2e Ch. 0"
"10","nrow()","return number of rows in matrix, data frame, etc.","base","R4DS-2e Ch. 0"
"11","paste0()","concatenate character vectors with no space between elements","base","R4DS-2e Ch. 0"
"12","read_csv()","read comma delimited files","readr","R4DS-2e Ch. 0"
